Total Rows: 19009

===== Group: ('NA', 'a6cb7db6850459b954f7272e14d770617022639f8847cf25e6859b9453a03813') (Count: 29) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
voting_cta_subtype_illuminating |      616 |       0.12 |        0.0 |        1.0 |       0.33 |        - | -                                       
covid_topic_illuminating       |      616 |        0.3 |        0.0 |        1.0 |       0.46 |        - | -                                       
economy_topic_illuminating     |      616 |       0.02 |        0.0 |        1.0 |       0.13 |        - | -                                       
education_topic_illuminating   |      616 |        0.0 |        0.0 |        1.0 |       0.06 |        - | -                                       
environment_topic_illuminating |      616 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
foreign_policy_topic_illuminating |      616 |        0.0 |        0.0 |        1.0 |       0.04 |        - | -                                       
governance_topic_illuminating  |      616 |       0.01 |        0.0 |        1.0 |       0.09 |        - | -                                       
health_topic_illuminating      |      616 |        0.0 |        0.0 |        1.0 |       0.04 |        - | -                                       
immigration_topic_illuminating |      616 |       0.02 |        0.0 |        1.0 |       0.13 |        - | -                                       
lgbtq_issues_topic_illuminating |      616 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
military_topic_illuminating    |      616 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
race_and_ethnicity_topic_illuminating |      616 |       0.01 |        0.0 |        1.0 |       0.08 |        - | -                                       
safety_topic_illuminating      |      616 |       0.01 |        0.0 |        1.0 |       0.08 |        - | -                                       
social_and_cultural_topic_illuminating |      616 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
technology_and_privacy_topic_illuminatin... |      616 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
womens_issue_topic_illuminating |      616 |        0.0 |        0.0 |        1.0 |       0.04 |        - | -                                       
incivility_illuminating        |      616 |       0.06 |        0.0 |        1.0 |       0.24 |        - | -                                       
scam_illuminating              |      616 |       0.03 |        0.0 |        1.0 |       0.17 |        - | -                                       
freefair_illuminating          |      616 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
fraud_illuminating             |      616 |        0.0 |        0.0 |        1.0 |       0.04 |        - | -                                       

===== Group: ('NA', '058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b') (Count: 210) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |      210 |          - |          - |          - |          - |        1 | 058bd86861262fa71733f8515c34b729d9ebcad3...
post_id                        |      210 |          - |          - |          - |          - |      210 | 1cea6a3ba6e5e032de0f6246ffcdcaa03cb620fe...
Page Category                  |      210 |          - |          - |          - |          - |        1 | POLITICIAN (Count: 210)                 
Page Admin Top Country         |      210 |          - |          - |          - |          - |        1 | US (Count: 210)                         
Post Created                   |      210 |          - |          - |          - |          - |      210 | 2023-09-30 18:15:44 EDT (Count: 1)      
Post Created Date              |      210 |          - |          - |          - |          - |      123 | 2023-09-28 (Count: 5)                   
Post Created Time              |      210 |          - |          - |          - |          - |      206 | 17:00:01 (Count: 3)                     
Type                           |      210 |          - |          - |          - |          - |        4 | Photo (Count: 91)                       
Total Interactions             |      210 |     105.73 |       11.0 |      920.0 |     127.77 |        - | -                                       
Likes                          |      210 |      59.05 |        5.0 |      551.0 |      78.75 |        - | -                                       
Comments                       |      210 |      26.34 |        0.0 |      425.0 |      42.86 |        - | -                                       
Shares                         |      210 |        5.3 |        0.0 |       73.0 |       6.93 |        - | -                                       
Love                           |      210 |       5.09 |        0.0 |       71.0 |       8.86 |        - | -                                       
Wow                            |      210 |       0.22 |        0.0 |        4.0 |       0.55 |        - | -                                       
Haha                           |      210 |       7.17 |        0.0 |      134.0 |      14.57 |        - | -                                       
Sad                            |      210 |       0.62 |        0.0 |       40.0 |       3.01 |        - | -                                       
Angry                          |      210 |       0.92 |        0.0 |       14.0 |       2.12 |        - | -                                       
Care                           |      210 |       1.02 |        0.0 |       71.0 |       5.55 |        - | -                                       
Video Share Status             |       67 |          - |          - |          - |          - |        2 | owned (Count: 66)                       
Is Video Owner?                |      210 |          - |          - |          - |          - |        3 | - (Count: 143)                          
Post Views                     |      210 |     251.94 |        0.0 |    17218.0 |    1261.17 |        - | -                                       
Total Views                    |      210 |     279.76 |        0.0 |    17606.0 |    1307.29 |        - | -                                       
Total Views For All Crossposts |      210 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Video Length                   |       67 |          - |          - |          - |          - |       47 | 00:00:45 (Count: 4)                     
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |      210 |      -0.56 |      -5.73 |       7.36 |       2.21 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |      210 |       0.59 |        0.0 |        1.0 |       0.49 |        - | -                                       
issue_msg_type_illuminating    |      210 |       0.56 |        0.0 |        1.0 |        0.5 |        - | -                                       
attack_msg_type_illuminating   |      210 |       0.29 |        0.0 |        1.0 |       0.45 |        - | -                                       
image_msg_type_illuminating    |      210 |       0.17 |        0.0 |        1.0 |       0.38 |        - | -                                       
cta_msg_type_illuminating      |      210 |       0.15 |        0.0 |        1.0 |       0.36 |        - | -                                       
engagement_cta_subtype_illuminating |      210 |       0.11 |        0.0 |        1.0 |       0.32 |        - | -                                       
fundraising_cta_subtype_illuminating |      210 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
voting_cta_subtype_illuminating |      210 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
covid_topic_illuminating       |      210 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
economy_topic_illuminating     |      210 |       0.21 |        0.0 |        1.0 |       0.41 |        - | -                                       
education_topic_illuminating   |      210 |       0.02 |        0.0 |        1.0 |       0.14 |        - | -                                       
environment_topic_illuminating |      210 |       0.07 |        0.0 |        1.0 |       0.26 |        - | -                                       
foreign_policy_topic_illuminating |      210 |        0.1 |        0.0 |        1.0 |       0.29 |        - | -                                       
governance_topic_illuminating  |      210 |       0.03 |        0.0 |        1.0 |       0.17 |        - | -                                       
health_topic_illuminating      |      210 |       0.03 |        0.0 |        1.0 |       0.17 |        - | -                                       
immigration_topic_illuminating |      210 |       0.06 |        0.0 |        1.0 |       0.24 |        - | -                                       
lgbtq_issues_topic_illuminating |      210 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
military_topic_illuminating    |      210 |       0.01 |        0.0 |        1.0 |       0.12 |        - | -                                       
race_and_ethnicity_topic_illuminating |      210 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
safety_topic_illuminating      |      210 |       0.04 |        0.0 |        1.0 |        0.2 |        - | -                                       
social_and_cultural_topic_illuminating |      210 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
technology_and_privacy_topic_illuminatin... |      210 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
womens_issue_topic_illuminating |      210 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
incivility_illuminating        |      210 |       0.18 |        0.0 |        1.0 |       0.38 |        - | -                                       
scam_illuminating              |      210 |       0.01 |        0.0 |        1.0 |        0.1 |        - | -                                       
freefair_illuminating          |      210 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
fraud_illuminating             |      210 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       

===== Group: ('NA', 'ac24f31c4d4b3d5555065fa9558bdca4ab4b5e1379922875ae9e6e32f1d46d25') (Count: 1231) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |     1231 |          - |          - |          - |          - |        1 | ac24f31c4d4b3d5555065fa9558bdca4ab4b5e13...
post_id                        |     1231 |          - |          - |          - |          - |     1231 | 02f1e0da0afc5706a26f18176c199bb1e4cadcee...
Page Category                  |      867 |          - |          - |          - |          - |        1 | POLITICIAN (Count: 867)                 
Page Admin Top Country         |      867 |          - |          - |          - |          - |        1 | US (Count: 867)                         
Post Created                   |     1231 |          - |          - |          - |          - |     1231 | 2023-09-02 11:27:00 EDT (Count: 1)      
Post Created Date              |     1231 |          - |          - |          - |          - |      340 | 2024-10-30 (Count: 41)                  
Post Created Time              |     1231 |          - |          - |          - |          - |     1134 | 10:15:02 (Count: 5)                     
Type                           |      867 |          - |          - |          - |          - |        6 | Photo (Count: 401)                      
Total Interactions             |     1231 |    15243.3 |       96.0 |   152355.0 |    18940.7 |      737 | 1,545 (Count: 3)                        
Likes                          |     1231 |    5042.92 |       52.0 |   121951.0 |   10170.53 |        - | -                                       
Comments                       |     1231 |    1842.97 |        0.0 |    28113.0 |    2743.85 |        - | -                                       
Shares                         |     1231 |     600.95 |        0.0 |    21291.0 |    1324.98 |        - | -                                       
Love                           |     1231 |      540.8 |        0.0 |    29561.0 |     2088.3 |        - | -                                       
Wow                            |     1231 |       3.67 |        0.0 |       56.0 |       5.92 |        - | -                                       
Haha                           |     1231 |      130.4 |        0.0 |     2551.0 |     219.77 |        - | -                                       
Sad                            |     1231 |       7.58 |        0.0 |      416.0 |      28.45 |        - | -                                       
Angry                          |     1231 |      22.31 |        0.0 |     1113.0 |      70.54 |        - | -                                       
Care                           |     1231 |      34.68 |        0.0 |     1245.0 |      80.23 |        - | -                                       
Video Share Status             |      239 |          - |          - |          - |          - |        3 | owned (Count: 234)                      
Is Video Owner?                |      867 |          - |          - |          - |          - |        3 | - (Count: 628)                          
Post Views                     |      867 |     5272.2 |        0.0 |   470237.0 |   26610.47 |        - | -                                       
Total Views                    |      867 |    6726.64 |        0.0 |   518506.0 |   34315.04 |        - | -                                       
Total Views For All Crossposts |      867 |      18.54 |        0.0 |     8112.0 |     385.71 |        - | -                                       
Video Length                   |      239 |          - |          - |          - |          - |      106 | 00:00:30 (Count: 12)                    
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |      867 |       0.55 |     -21.27 |      44.77 |       5.19 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |     1231 |       0.71 |        0.0 |        1.0 |       0.45 |        - | -                                       
issue_msg_type_illuminating    |     1231 |       0.57 |        0.0 |        1.0 |        0.5 |        - | -                                       
attack_msg_type_illuminating   |     1231 |       0.21 |        0.0 |        1.0 |       0.41 |        - | -                                       
image_msg_type_illuminating    |     1231 |        0.1 |        0.0 |        1.0 |       0.31 |        - | -                                       
cta_msg_type_illuminating      |     1231 |       0.15 |        0.0 |        1.0 |       0.35 |        - | -                                       
engagement_cta_subtype_illuminating |     1231 |       0.09 |        0.0 |        1.0 |       0.29 |        - | -                                       
fundraising_cta_subtype_illuminating |     1231 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       
voting_cta_subtype_illuminating |     1231 |       0.07 |        0.0 |        1.0 |       0.26 |        - | -                                       
covid_topic_illuminating       |     1231 |       0.06 |        0.0 |        1.0 |       0.24 |        - | -                                       
economy_topic_illuminating     |     1231 |       0.17 |        0.0 |        1.0 |       0.38 |        - | -                                       
education_topic_illuminating   |     1231 |       0.02 |        0.0 |        1.0 |       0.15 |        - | -                                       
environment_topic_illuminating |     1231 |       0.02 |        0.0 |        1.0 |       0.14 |        - | -                                       
foreign_policy_topic_illuminating |     1231 |        0.0 |        0.0 |        1.0 |       0.04 |        - | -                                       
governance_topic_illuminating  |     1231 |       0.05 |        0.0 |        1.0 |       0.21 |        - | -                                       
health_topic_illuminating      |     1231 |       0.25 |        0.0 |        1.0 |       0.44 |        - | -                                       
immigration_topic_illuminating |     1231 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
lgbtq_issues_topic_illuminating |     1231 |       0.01 |        0.0 |        1.0 |       0.09 |        - | -                                       
military_topic_illuminating    |     1231 |        0.0 |        0.0 |        1.0 |       0.05 |        - | -                                       
race_and_ethnicity_topic_illuminating |     1231 |       0.02 |        0.0 |        1.0 |       0.14 |        - | -                                       
safety_topic_illuminating      |     1231 |       0.08 |        0.0 |        1.0 |       0.27 |        - | -                                       
social_and_cultural_topic_illuminating |     1231 |       0.25 |        0.0 |        1.0 |       0.43 |        - | -                                       
technology_and_privacy_topic_illuminatin... |     1231 |        0.0 |        0.0 |        1.0 |       0.06 |        - | -                                       
womens_issue_topic_illuminating |     1231 |       0.19 |        0.0 |        1.0 |        0.4 |        - | -                                       
incivility_illuminating        |     1231 |       0.11 |        0.0 |        1.0 |       0.31 |        - | -                                       
scam_illuminating              |     1231 |        0.0 |        0.0 |        1.0 |       0.04 |        - | -                                       
freefair_illuminating          |     1231 |        0.0 |        0.0 |        1.0 |       0.06 |        - | -                                       
fraud_illuminating             |     1231 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       

===== Group: ('NA', '7f5731ac8e6959576e781064b5fa76e059200cdfc3f4e0d7b68bc98792d2cf5b') (Count: 1158) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |     1158 |          - |          - |          - |          - |        1 | 7f5731ac8e6959576e781064b5fa76e059200cdf...
post_id                        |     1158 |          - |          - |          - |          - |     1158 | 497565dafe2f75548cd6068a32ada78b60de6fec...
Page Category                  |     1068 |          - |          - |          - |          - |        1 | PERSON (Count: 1068)                    
Page Admin Top Country         |     1068 |          - |          - |          - |          - |        1 | US (Count: 1068)                        
Post Created                   |     1158 |          - |          - |          - |          - |     1155 | 2024-09-30T13:47:21.000Z (Count: 2)     
Post Created Date              |     1158 |          - |          - |          - |          - |      295 | 2023-09-22 (Count: 36)                  
Post Created Time              |     1158 |          - |          - |          - |          - |     1138 | 18:30:03 (Count: 2)                     
Type                           |     1068 |          - |          - |          - |          - |        6 | Photo (Count: 436)                      
Total Interactions             |     1158 |     930.26 |       87.0 |    33971.0 |    1706.27 |      553 | 1,133 (Count: 4)                        
Likes                          |     1158 |     797.74 |       59.0 |    29326.0 |    1304.55 |        - | -                                       
Comments                       |     1158 |     608.75 |        4.0 |    10573.0 |     802.37 |        - | -                                       
Shares                         |     1158 |      74.64 |        4.0 |     2516.0 |     130.59 |        - | -                                       
Love                           |     1158 |     131.96 |        0.0 |     6247.0 |     286.38 |        - | -                                       
Wow                            |     1158 |       2.18 |        0.0 |      110.0 |       5.74 |        - | -                                       
Haha                           |     1158 |      90.69 |        0.0 |     2677.0 |     150.83 |        - | -                                       
Sad                            |     1158 |       9.27 |        0.0 |     4922.0 |     148.43 |        - | -                                       
Angry                          |     1158 |      11.58 |        0.0 |     1562.0 |      52.82 |        - | -                                       
Care                           |     1158 |      24.63 |        0.0 |    13706.0 |     405.36 |        - | -                                       
Video Share Status             |      346 |          - |          - |          - |          - |        2 | owned (Count: 344)                      
Is Video Owner?                |     1068 |          - |          - |          - |          - |        3 | - (Count: 722)                          
Post Views                     |     1068 |    2366.88 |        0.0 |   448192.0 |   16961.43 |        - | -                                       
Total Views                    |     1068 |    2550.38 |        0.0 |   450313.0 |   17524.48 |        - | -                                       
Total Views For All Crossposts |     1068 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Video Length                   |      346 |          - |          - |          - |          - |      127 | 00:00:30 (Count: 14)                    
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |     1068 |      -0.84 |     -15.01 |      13.05 |       2.62 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |     1158 |       0.62 |        0.0 |        1.0 |       0.49 |        - | -                                       
issue_msg_type_illuminating    |     1158 |       0.44 |        0.0 |        1.0 |        0.5 |        - | -                                       
attack_msg_type_illuminating   |     1158 |       0.24 |        0.0 |        1.0 |       0.42 |        - | -                                       
image_msg_type_illuminating    |     1158 |       0.21 |        0.0 |        1.0 |        0.4 |        - | -                                       
cta_msg_type_illuminating      |     1158 |       0.15 |        0.0 |        1.0 |       0.35 |        - | -                                       
engagement_cta_subtype_illuminating |     1158 |       0.07 |        0.0 |        1.0 |       0.26 |        - | -                                       
fundraising_cta_subtype_illuminating |     1158 |       0.01 |        0.0 |        1.0 |       0.07 |        - | -                                       
voting_cta_subtype_illuminating |     1158 |       0.06 |        0.0 |        1.0 |       0.24 |        - | -                                       
covid_topic_illuminating       |     1158 |       0.02 |        0.0 |        1.0 |       0.15 |        - | -                                       
economy_topic_illuminating     |     1158 |       0.13 |        0.0 |        1.0 |       0.33 |        - | -                                       
education_topic_illuminating   |     1158 |       0.02 |        0.0 |        1.0 |       0.14 |        - | -                                       
environment_topic_illuminating |     1158 |       0.01 |        0.0 |        1.0 |       0.09 |        - | -                                       
foreign_policy_topic_illuminating |     1158 |       0.09 |        0.0 |        1.0 |       0.29 |        - | -                                       
governance_topic_illuminating  |     1158 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       
health_topic_illuminating      |     1158 |       0.01 |        0.0 |        1.0 |        0.1 |        - | -                                       
immigration_topic_illuminating |     1158 |       0.06 |        0.0 |        1.0 |       0.24 |        - | -                                       
lgbtq_issues_topic_illuminating |     1158 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
military_topic_illuminating    |     1158 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       
race_and_ethnicity_topic_illuminating |     1158 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
safety_topic_illuminating      |     1158 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       
social_and_cultural_topic_illuminating |     1158 |       0.01 |        0.0 |        1.0 |       0.12 |        - | -                                       
technology_and_privacy_topic_illuminatin... |     1158 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
womens_issue_topic_illuminating |     1158 |       0.01 |        0.0 |        1.0 |       0.08 |        - | -                                       
incivility_illuminating        |     1158 |       0.15 |        0.0 |        1.0 |       0.36 |        - | -                                       
scam_illuminating              |     1158 |       0.01 |        0.0 |        1.0 |       0.12 |        - | -                                       
freefair_illuminating          |     1158 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
fraud_illuminating             |     1158 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       

===== Group: ('NA', '834f691e4ca1c67a7e33db1638caa579b426082e25427c63cb98679fb36af452') (Count: 23) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
