
========== Header ==========
Header: ['page_id', 'ad_id', 'ad_creation_time', 'bylines', 'currency', 'delivery_by_region', 'demographic_distribution', 'estimated_audience_size', 'estimated_impressions', 'estimated_spend', 'publisher_platforms', 'illuminating_scored_message', 'illuminating_mentions', 'scam_illuminating', 'election_integrity_Truth_illuminating', 'advocacy_msg_type_illuminating', 'issue_msg_type_illuminating', 'attack_msg_type_illuminating', 'image_msg_type_illuminating', 'cta_msg_type_illuminating', 'engagement_cta_subtype_illuminating', 'fundraising_cta_subtype_illuminating', 'voting_cta_subtype_illuminating', 'covid_topic_illuminating', 'economy_topic_illuminating', 'education_topic_illuminating', 'environment_topic_illuminating', 'foreign_policy_topic_illuminating', 'governance_topic_illuminating', 'health_topic_illuminating', 'immigration_topic_illuminating', 'lgbtq_issues_topic_illuminating', 'military_topic_illuminating', 'race_and_ethnicity_topic_illuminating', 'safety_topic_illuminating', 'social_and_cultural_topic_illuminating', 'technology_and_privacy_topic_illuminating', 'womens_issue_topic_illuminating', 'incivility_illuminating', 'freefair_illuminating', 'fraud_illuminating']


========== Descriptive Statistics for Entire Dataset ==========
|                                           | Mean      | Min   | Max       |   Unique | Most Frequent                                                    |   Freq Cnt |
Group: page_id=0005687f4ac876c135dda2bd5aa60962eced3356228ef01c21c514d263a11128
|                                           | Mean   | Min    | Max    |   Unique | Most Frequent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |   Freq Cnt |
|-------------------------------------------|--------|--------|--------|----------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------|
| page_id                                   | -      | -      | -      |        1 | 0005687f4ac876c135dda2bd5aa60962eced3356228ef01c21c514d263a11128                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |          2 |
| ad_id                                     | -      | -      | -      |        2 | 5ae5f50e059148a06b00ef785636346997d35ee843d2900fe795e60bc39a535f                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |          1 |
| ad_creation_time                          | -      | -      | -      |        2 | 2024-10-28                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |          1 |
| bylines                                   | -      | -      | -      |        1 | David Blount for State Senate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |          2 |
| currency                                  | -      | -      | -      |        1 | USD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |          2 |
| delivery_by_region                        | -      | -      | -      |        2 | {'Alabama': {'spend': 0, 'impressions': 26}, 'Pennsylvania': {'spend': 0, 'impressions': 3}, 'New Hampshire': {'spend': 0, 'impressions': 1}, 'New Jersey': {'spend': 0, 'impressions': 2}, 'New York': {'spend': 0, 'impressions': 21}, 'North Carolina': {'spend': 0, 'impressions': 23}, 'Ohio': {'spend': 0, 'impressions': 1}, 'Oklahoma': {'spend': 0, 'impressions': 2}, 'Oregon': {'spend': 0, 'impressions': 1}, 'South Carolina': {'spend': 0, 'impressions': 2}, 'Nebraska': {'spend': 0, 'impressions': 1}, 'Tennessee': {'spend': 0, 'impressions': 39}, 'Texas': {'spend': 1, 'impressions': 79}, 'Utah': {'spend': 0, 'impressions': 3}, 'Vermont': {'spend': 0, 'impressions': 1}, 'Virginia': {'spend': 0, 'impressions': 6}, 'Washington': {'spend': 0, 'impressions': 3}, 'West Virginia': {'spend': 0, 'impressions': 1}, 'Wisconsin': {'spend': 0, 'impressions': 1}, 'Nevada': {'spend': 0, 'impressions': 2}, 'Montana': {'spend': 0, 'impressions': 1}, 'Alaska': {'spend': 0, 'impressions': 1}, 'Indiana': {'spend': 0, 'impressions': 5}, 'Arizona': {'spend': 0, 'impressions': 2}, 'Arkansas': {'spend': 0, 'impressions': 5}, 'California': {'spend': 0, 'impressions': 21}, 'Colorado': {'spend': 0, 'impressions': 10}, 'Connecticut': {'spend': 0, 'impressions': 1}, 'Florida': {'spend': 0, 'impressions': 19}, 'Georgia': {'spend': 0, 'impressions': 30}, 'Illinois': {'spend': 0, 'impressions': 13}, 'Kansas': {'spend': 0, 'impressions': 3}, 'Missouri': {'spend': 0, 'impressions': 7}, 'Kentucky': {'spend': 0, 'impressions': 5}, 'Louisiana': {'spend': 0, 'impressions': 25}, 'Maine': {'spend': 0, 'impressions': 1}, 'Maryland': {'spend': 0, 'impressions': 6}, 'Massachusetts': {'spend': 0, 'impressions': 3}, 'Michigan': {'spend': 0, 'impressions': 5}, 'Minnesota': {'spend': 0, 'impressions': 1}, 'Mississippi': {'spend': 41, 'impressions': 2096}, 'Wyoming': {'spend': 0, 'impressions': 1}} |          1 |
| demographic_distribution                  | -      | -      | -      |        2 | {'female_18-24': {'spend': 0, 'impressions': 36}, 'male_45-54': {'spend': 4, 'impressions': 232}, 'male_65+': {'spend': 3, 'impressions': 170}, 'female_65+': {'spend': 5, 'impressions': 301}, 'unknown_55-64': {'spend': 0, 'impressions': 5}, 'male_55-64': {'spend': 3, 'impressions': 169}, 'female_55-64': {'spend': 5, 'impressions': 263}, 'unknown_45-54': {'spend': 0, 'impressions': 6}, 'female_45-54': {'spend': 6, 'impressions': 340}, 'male_18-24': {'spend': 0, 'impressions': 20}, 'unknown_35-44': {'spend': 0, 'impressions': 3}, 'male_35-44': {'spend': 3, 'impressions': 194}, 'female_35-44': {'spend': 7, 'impressions': 358}, 'unknown_25-34': {'spend': 0, 'impressions': 1}, 'male_25-34': {'spend': 2, 'impressions': 143}, 'female_25-34': {'spend': 4, 'impressions': 243}, 'unknown_65+': {'spend': 0, 'impressions': 6}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |          1 |
| estimated_audience_size                   | 5250.0 | 3000.0 | 7500.0 |        2 | 3000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |          1 |
| estimated_impressions                     | 3999.0 | 2499.0 | 5499.0 |        2 | 2499                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |          1 |
| estimated_spend                           | 49.0   | 49.0   | 49.0   |        1 | 49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |          2 |
| publisher_platforms                       | -      | -      | -      |        1 | ['facebook', 'instagram']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |          2 |
| illuminating_scored_message               | -      | -      | -      |        2 | f81ed9f610a05a97f7887203d71991e1f1b154e8019ea608ade1843e78886942                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |          1 |
| illuminating_mentions                     | -      | -      | -      |        1 | ['Kamala Harris', 'Tim Walz']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |          2 |
| scam_illuminating                         | 0.0    | 0.0    | 0.0    |        1 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |          2 |
| election_integrity_Truth_illuminating     | 0.0    | 0.0    | 0.0    |        1 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |          2 |
| advocacy_msg_type_illuminating            | 0.5    | 0.0    | 1.0    |        2 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |          1 |
| issue_msg_type_illuminating               | 0.0    | 0.0    | 0.0    |        1 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |          2 |
