
========== Header ==========

Header: ['id', 'url', 'source', 'retweetCount', 'replyCount', 'likeCount', 'quoteCount', 'viewCount', 'createdAt', 'lang', 'bookmarkCount', 'isReply', 'isRetweet', 'isQuote', 'isConversationControlled', 'quoteId', 'inReplyToId', 'month_year', 'illuminating_scored_message', 'election_integrity_Truth_illuminating', 'advocacy_msg_type_illuminating', 'issue_msg_type_illuminating', 'attack_msg_type_illuminating', 'image_msg_type_illuminating', 'cta_msg_type_illuminating', 'engagement_cta_subtype_illuminating', 'fundraising_cta_subtype_illuminating', 'voting_cta_subtype_illuminating', 'covid_topic_illuminating', 'economy_topic_illuminating', 'education_topic_illuminating', 'environment_topic_illuminating', 'foreign_policy_topic_illuminating', 'governance_topic_illuminating', 'health_topic_illuminating', 'immigration_topic_illuminating', 'lgbtq_issues_topic_illuminating', 'military_topic_illuminating', 'race_and_ethnicity_topic_illuminating', 'safety_topic_illuminating', 'social_and_cultural_topic_illuminating', 'technology_and_privacy_topic_illuminating', 'womens_issue_topic_illuminating', 'incivility_illuminating', 'scam_illuminating', 'freefair_illuminating', 'fraud_illuminating']


========== Descriptive Statistics for Entire Dataset ==========

|                                           | Mean                   | Min                   | Max                    |   Unique | Most Frequent                                                    |   Freq Cnt |
| cta_msg_type_illuminating                 | 0.11                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      23179 |
| engagement_cta_subtype_illuminating       | 0.07                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      24292 |
| fundraising_cta_subtype_illuminating      | 0.01                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25829 |
| voting_cta_subtype_illuminating           | 0.02                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25597 |
| covid_topic_illuminating                  | 0.01                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25836 |
| economy_topic_illuminating                | 0.16                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      21863 |
| education_topic_illuminating              | 0.02                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25554 |
| environment_topic_illuminating            | 0.03                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25291 |
| foreign_policy_topic_illuminating         | 0.04                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      24934 |
| governance_topic_illuminating             | 0.02                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25436 |
| health_topic_illuminating                 | 0.06                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      24585 |
| immigration_topic_illuminating            | 0.07                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      24334 |
| lgbtq_issues_topic_illuminating           | 0.0                    | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25954 |
| military_topic_illuminating               | 0.01                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25748 |
| race_and_ethnicity_topic_illuminating     | 0.02                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25633 |
| safety_topic_illuminating                 | 0.04                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25055 |
| social_and_cultural_topic_illuminating    | 0.05                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      24681 |
| technology_and_privacy_topic_illuminating | 0.0                    | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25981 |
| womens_issue_topic_illuminating           | 0.02                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25427 |
| incivility_illuminating                   | 0.18                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      21385 |
| scam_illuminating                         | 0.01                   | 0.0                   | 1.0                    |        2 | 0.0                                                              |      25712 |
| freefair_illuminating                     | 0.0                    | 0.0                   | 1.0                    |        2 | 0                                                                |      27265 |
| fraud_illuminating                        | 0.0                    | 0.0                   | 1.0                    |        2 | 0                                                                |      27229 |


========== Grouped by ['source'] (All Groups) ==========


Group: ('Canva',) (Count: 1)
|                                           | Mean    | Min     | Max     |   Unique | Most Frequent                                                    | Freq Cnt   |
|-------------------------------------------|---------|---------|---------|----------|------------------------------------------------------------------|------------|
| id                                        | -       | -       | -       |        1 | 5b11b20d90740faeeb08c8ad5724fa3ab78a4364d13016665b0c5a4581beec7b | 1          |
| url                                       | -       | -       | -       |        1 | 050f152d7ab9e30519bc4f251b3930dd36850c414a403fd5c629a2c4564721bd | 1          |
| source                                    | -       | -       | -       |        1 | Canva                                                            | 1          |
| retweetCount                              | 69.0    | 69.0    | 69.0    |        1 | 69                                                               | 1          |
| replyCount                                | 324.0   | 324.0   | 324.0   |        1 | 324                                                              | 1          |
| likeCount                                 | 490.0   | 490.0   | 490.0   |        1 | 490                                                              | 1          |
| quoteCount                                | 40.0    | 40.0    | 40.0    |        1 | 40                                                               | 1          |
| viewCount                                 | 41173.0 | 41173.0 | 41173.0 |        1 | 41173                                                            | 1          |
| createdAt                                 | -       | -       | -       |        1 | 2024-02-29 21:26:10                                              | 1          |
| lang                                      | -       | -       | -       |        1 | en                                                               | 1          |
| bookmarkCount                             | 16.0    | 16.0    | 16.0    |        1 | 16                                                               | 1          |
| isReply                                   | -       | -       | -       |        1 | False                                                            | 1          |
| isRetweet                                 | -       | -       | -       |        1 | False                                                            | 1          |
| isQuote                                   | -       | -       | -       |        1 | False                                                            | 1          |
| isConversationControlled                  | -       | -       | -       |        1 | False                                                            | 1          |
| quoteId                                   | -       | -       | -       |        0 | -                                                                | -          |
| inReplyToId                               | -       | -       | -       |        0 | -                                                                | -          |
| month_year                                | -       | -       | -       |        1 | 2024-02                                                          | 1          |
| illuminating_scored_message               | -       | -       | -       |        1 | 89985621af1d7e22ee18b78836d7eaaf20fbcf7e01e8a9266c59f4893ef54e59 | 1          |
| election_integrity_Truth_illuminating     | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| advocacy_msg_type_illuminating            | 1.0     | 1.0     | 1.0     |        1 | 1.0                                                              | 1          |
| issue_msg_type_illuminating               | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| attack_msg_type_illuminating              | 1.0     | 1.0     | 1.0     |        1 | 1.0                                                              | 1          |
| image_msg_type_illuminating               | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| cta_msg_type_illuminating                 | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| engagement_cta_subtype_illuminating       | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| fundraising_cta_subtype_illuminating      | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| voting_cta_subtype_illuminating           | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| covid_topic_illuminating                  | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| economy_topic_illuminating                | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| education_topic_illuminating              | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| environment_topic_illuminating            | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| foreign_policy_topic_illuminating         | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| governance_topic_illuminating             | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| health_topic_illuminating                 | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| immigration_topic_illuminating            | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| lgbtq_issues_topic_illuminating           | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| military_topic_illuminating               | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| race_and_ethnicity_topic_illuminating     | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| safety_topic_illuminating                 | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| social_and_cultural_topic_illuminating    | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| technology_and_privacy_topic_illuminating | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| womens_issue_topic_illuminating           | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| incivility_illuminating                   | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| scam_illuminating                         | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| freefair_illuminating                     | 0.0     | 0.0     | 0.0     |        1 | 0                                                                | 1          |
| fraud_illuminating                        | 0.0     | 0.0     | 0.0     |        1 | 0                                                                | 1          |


Group: ('Hootsuite Inc.',) (Count: 47)
|                                           | Mean     | Min     | Max     |   Unique | Most Frequent                                                    | Freq Cnt   |
|-------------------------------------------|----------|---------|---------|----------|------------------------------------------------------------------|------------|
| id                                        | -        | -       | -       |       47 | 5354908dccb40525b2d42c46902a86f5a9f39e4c8961af02b2372cab0d0e497f | 1          |
| url                                       | -        | -       | -       |       47 | f428cd263ba408fab8558e9b9d186a2810d1bf0e9ffd1373b9dc3a6937a5db8e | 1          |
| source                                    | -        | -       | -       |        1 | Hootsuite Inc.                                                   | 47         |
| retweetCount                              | 129.98   | 47.0    | 780.0   |       36 | 55                                                               | 3          |
| replyCount                                | 37.19    | 8.0     | 168.0   |       36 | 27                                                               | 2          |
| likeCount                                 | 380.83   | 120.0   | 2195.0  |       47 | 137                                                              | 1          |
| quoteCount                                | 7.53     | 0.0     | 44.0    |       20 | 2                                                                | 8          |
| viewCount                                 | 29066.62 | 13542.0 | 68518.0 |       47 | 28158                                                            | 1          |
| createdAt                                 | -        | -       | -       |       47 | 2024-02-27 16:02:48                                              | 1          |
| lang                                      | -        | -       | -       |        1 | en                                                               | 47         |
| bookmarkCount                             | 8.45     | 1.0     | 56.0    |       16 | 2                                                                | 8          |
| isReply                                   | -        | -       | -       |        1 | False                                                            | 47         |
| isRetweet                                 | -        | -       | -       |        1 | False                                                            | 47         |
| isQuote                                   | -        | -       | -       |        1 | False                                                            | 47         |
| isConversationControlled                  | -        | -       | -       |        1 | False                                                            | 47         |
| quoteId                                   | -        | -       | -       |        0 | -                                                                | -          |
| inReplyToId                               | -        | -       | -       |        0 | -                                                                | -          |
| month_year                                | -        | -       | -       |        8 | 2024-03                                                          | 11         |
| illuminating_scored_message               | -        | -       | -       |       47 | a25f3ec57aff02964e8c82c60c021b784484bd49b4255da63631b1c9125da450 | 1          |
| election_integrity_Truth_illuminating     | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| advocacy_msg_type_illuminating            | 0.46     | 0.0     | 1.0     |        2 | 0.0                                                              | 22         |
| issue_msg_type_illuminating               | 0.34     | 0.0     | 1.0     |        2 | 0.0                                                              | 27         |
| attack_msg_type_illuminating              | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| image_msg_type_illuminating               | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| cta_msg_type_illuminating                 | 0.83     | 0.0     | 1.0     |        2 | 1.0                                                              | 34         |
| engagement_cta_subtype_illuminating       | 0.59     | 0.0     | 1.0     |        2 | 1.0                                                              | 24         |
| fundraising_cta_subtype_illuminating      | 0.07     | 0.0     | 1.0     |        2 | 0.0                                                              | 38         |
| voting_cta_subtype_illuminating           | 0.0      | 0.0     | 0.0     |        1 | 0.0                                                              | 41         |
| covid_topic_illuminating                  | 0.0      | 0.0     | 0.0     |        1 | 0.0                                                              | 41         |
| economy_topic_illuminating                | 0.0      | 0.0     | 0.0     |        1 | 0.0                                                              | 41         |
| education_topic_illuminating              | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| environment_topic_illuminating            | 0.0      | 0.0     | 0.0     |        1 | 0.0                                                              | 41         |
| foreign_policy_topic_illuminating         | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| governance_topic_illuminating             | 0.0      | 0.0     | 0.0     |        1 | 0.0                                                              | 41         |
| health_topic_illuminating                 | 0.07     | 0.0     | 1.0     |        2 | 0.0                                                              | 38         |
| immigration_topic_illuminating            | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| lgbtq_issues_topic_illuminating           | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| military_topic_illuminating               | 0.0      | 0.0     | 0.0     |        1 | 0.0                                                              | 41         |
| race_and_ethnicity_topic_illuminating     | 0.05     | 0.0     | 1.0     |        2 | 0.0                                                              | 39         |
| safety_topic_illuminating                 | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| social_and_cultural_topic_illuminating    | 0.12     | 0.0     | 1.0     |        2 | 0.0                                                              | 36         |
| technology_and_privacy_topic_illuminating | 0.0      | 0.0     | 0.0     |        1 | 0.0                                                              | 41         |
| womens_issue_topic_illuminating           | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| incivility_illuminating                   | 0.0      | 0.0     | 0.0     |        1 | 0.0                                                              | 41         |
| scam_illuminating                         | 0.02     | 0.0     | 1.0     |        2 | 0.0                                                              | 40         |
| freefair_illuminating                     | 0.0      | 0.0     | 0.0     |        1 | 0                                                                | 47         |
| fraud_illuminating                        | 0.02     | 0.0     | 1.0     |        2 | 0                                                                | 46         |


Group: ('Later Media',) (Count: 1)
|                                           | Mean    | Min     | Max     |   Unique | Most Frequent                                                    | Freq Cnt   |
|-------------------------------------------|---------|---------|---------|----------|------------------------------------------------------------------|------------|
| id                                        | -       | -       | -       |        1 | 2d9cfc7b380157ca2d41ac35c61fe9d530b4ea58662064c71726c2e733eefccb | 1          |
| url                                       | -       | -       | -       |        1 | 5fc4e0f1baa6eb4aaf3bc4b219055200c8a34d645c148b55b700d206d7c3d577 | 1          |
| source                                    | -       | -       | -       |        1 | Later Media                                                      | 1          |
| retweetCount                              | 93.0    | 93.0    | 93.0    |        1 | 93                                                               | 1          |
| replyCount                                | 18.0    | 18.0    | 18.0    |        1 | 18                                                               | 1          |
| likeCount                                 | 280.0   | 280.0   | 280.0   |        1 | 280                                                              | 1          |
| quoteCount                                | 10.0    | 10.0    | 10.0    |        1 | 10                                                               | 1          |
| viewCount                                 | 12847.0 | 12847.0 | 12847.0 |        1 | 12847                                                            | 1          |
| createdAt                                 | -       | -       | -       |        1 | 2024-02-01 11:10:49                                              | 1          |
| lang                                      | -       | -       | -       |        1 | en                                                               | 1          |
| bookmarkCount                             | 5.0     | 5.0     | 5.0     |        1 | 5                                                                | 1          |
| isReply                                   | -       | -       | -       |        1 | False                                                            | 1          |
| isRetweet                                 | -       | -       | -       |        1 | False                                                            | 1          |
| isQuote                                   | -       | -       | -       |        1 | False                                                            | 1          |
| isConversationControlled                  | -       | -       | -       |        1 | False                                                            | 1          |
| quoteId                                   | -       | -       | -       |        0 | -                                                                | -          |
| inReplyToId                               | -       | -       | -       |        0 | -                                                                | -          |
| month_year                                | -       | -       | -       |        1 | 2024-02                                                          | 1          |
| illuminating_scored_message               | -       | -       | -       |        1 | 0aca51b1885c946a27ef08b05108fb1c76c83f18541cfbd20941061922eb3c9c | 1          |
| election_integrity_Truth_illuminating     | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| advocacy_msg_type_illuminating            | 1.0     | 1.0     | 1.0     |        1 | 1.0                                                              | 1          |
| issue_msg_type_illuminating               | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| attack_msg_type_illuminating              | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| image_msg_type_illuminating               | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| cta_msg_type_illuminating                 | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| engagement_cta_subtype_illuminating       | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| fundraising_cta_subtype_illuminating      | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| voting_cta_subtype_illuminating           | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| covid_topic_illuminating                  | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| economy_topic_illuminating                | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| education_topic_illuminating              | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| environment_topic_illuminating            | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| foreign_policy_topic_illuminating         | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| governance_topic_illuminating             | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| health_topic_illuminating                 | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| immigration_topic_illuminating            | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| lgbtq_issues_topic_illuminating           | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| military_topic_illuminating               | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| race_and_ethnicity_topic_illuminating     | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| safety_topic_illuminating                 | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| social_and_cultural_topic_illuminating    | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| technology_and_privacy_topic_illuminating | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| womens_issue_topic_illuminating           | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| incivility_illuminating                   | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| scam_illuminating                         | 0.0     | 0.0     | 0.0     |        1 | 0.0                                                              | 1          |
| freefair_illuminating                     | 0.0     | 0.0     | 0.0     |        1 | 0                                                                | 1          |
| fraud_illuminating                        | 0.0     | 0.0     | 0.0     |        1 | 0                                                                | 1          |


Group: ('Loomly',) (Count: 10)
|                                           | Mean    | Min   | Max     |   Unique | Most Frequent                                                    | Freq Cnt   |
|-------------------------------------------|---------|-------|---------|----------|------------------------------------------------------------------|------------|
| id                                        | -       | -     | -       |       10 | fcc78e04b62606e658c998fdfca2ee143fd1ffebae40ed0c9e8aa548833e767a | 1          |
| url                                       | -       | -     | -       |       10 | 5ef1e7325221e8af82ffd4d3522e2df996acd4038690a3f5fc9a664cae11561d | 1          |
| source                                    | -       | -     | -       |        1 | Loomly                                                           | 10         |
| retweetCount                              | 25.4    | 0.0   | 230.0   |        5 | 0                                                                | 6          |
| replyCount                                | 23.1    | 0.0   | 188.0   |        8 | 0                                                                | 3          |
| likeCount                                 | 160.3   | 0.0   | 1301.0  |        8 | 0                                                                | 2          |
| quoteCount                                | 1.4     | 0.0   | 13.0    |        3 | 0                                                                | 8          |
| viewCount                                 | 17030.0 | 154.0 | 85529.0 |       10 | 85529                                                            | 1          |
| createdAt                                 | -       | -     | -       |       10 | 2023-09-25 12:03:43                                              | 1          |
| lang                                      | -       | -     | -       |        1 | en                                                               | 10         |
| bookmarkCount                             | 0.4     | 0.0   | 1.0     |        2 | 0                                                                | 6          |
| isReply                                   | -       | -     | -       |        1 | False                                                            | 10         |
| isRetweet                                 | -       | -     | -       |        1 | False                                                            | 10         |
| isQuote                                   | -       | -     | -       |        1 | False                                                            | 10         |
| isConversationControlled                  | -       | -     | -       |        1 | False                                                            | 10         |
| quoteId                                   | -       | -     | -       |        0 | -                                                                | -          |
| inReplyToId                               | -       | -     | -       |        0 | -                                                                | -          |
| month_year                                | -       | -     | -       |        2 | 2024-01                                                          | 8          |
| illuminating_scored_message               | -       | -     | -       |       10 | 1bf5489168b7d42f20bf47772caa31390703ea80dea00d0963de14052d1f9acc | 1          |
| election_integrity_Truth_illuminating     | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| advocacy_msg_type_illuminating            | 0.8     | 0.0   | 1.0     |        2 | 1.0                                                              | 8          |
| issue_msg_type_illuminating               | 0.3     | 0.0   | 1.0     |        2 | 0.0                                                              | 7          |
| attack_msg_type_illuminating              | 0.1     | 0.0   | 1.0     |        2 | 0.0                                                              | 9          |
| image_msg_type_illuminating               | 0.2     | 0.0   | 1.0     |        2 | 0.0                                                              | 8          |
| cta_msg_type_illuminating                 | 0.3     | 0.0   | 1.0     |        2 | 0.0                                                              | 7          |
| engagement_cta_subtype_illuminating       | 0.2     | 0.0   | 1.0     |        2 | 0.0                                                              | 8          |
| fundraising_cta_subtype_illuminating      | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| voting_cta_subtype_illuminating           | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| covid_topic_illuminating                  | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| economy_topic_illuminating                | 0.1     | 0.0   | 1.0     |        2 | 0.0                                                              | 9          |
| education_topic_illuminating              | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| environment_topic_illuminating            | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| foreign_policy_topic_illuminating         | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| governance_topic_illuminating             | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| health_topic_illuminating                 | 0.1     | 0.0   | 1.0     |        2 | 0.0                                                              | 9          |
| immigration_topic_illuminating            | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| lgbtq_issues_topic_illuminating           | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| military_topic_illuminating               | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| race_and_ethnicity_topic_illuminating     | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| safety_topic_illuminating                 | 0.1     | 0.0   | 1.0     |        2 | 0.0                                                              | 9          |
| social_and_cultural_topic_illuminating    | 0.1     | 0.0   | 1.0     |        2 | 0.0                                                              | 9          |
| technology_and_privacy_topic_illuminating | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| womens_issue_topic_illuminating           | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| incivility_illuminating                   | 0.1     | 0.0   | 1.0     |        2 | 0.0                                                              | 9          |
| scam_illuminating                         | 0.0     | 0.0   | 0.0     |        1 | 0.0                                                              | 10         |
| freefair_illuminating                     | 0.0     | 0.0   | 0.0     |        1 | 0                                                                | 10         |
| fraud_illuminating                        | 0.0     | 0.0   | 0.0     |        1 | 0                                                                | 10         |


Group: ('Periscope',) (Count: 103)
|                                           | Mean      | Min    | Max        |   Unique | Most Frequent                                                    | Freq Cnt   |
|-------------------------------------------|-----------|--------|------------|----------|------------------------------------------------------------------|------------|
| id                                        | -         | -      | -          |      103 | 7a956e1a453deab79f74c9b37dbbb6b06bd28703692813664f16616515381ead | 1          |
| url                                       | -         | -      | -          |      103 | c4ecc3e5887aca76327a927c4cdf7203715461ed671effb30a61777134e98571 | 1          |
| source                                    | -         | -      | -          |        1 | Periscope                                                        | 103        |
| retweetCount                              | 596.73    | 23.0   | 29648.0    |       90 | 42                                                               | 3          |
| replyCount                                | 402.06    | 3.0    | 14559.0    |       90 | 81                                                               | 3          |
| likeCount                                 | 2483.36   | 96.0   | 127603.0   |      102 | 158                                                              | 2          |
| quoteCount                                | 78.51     | 0.0    | 4891.0     |       48 | 9                                                                | 9          |
| viewCount                                 | 303090.44 | 9518.0 | 14689732.0 |      103 | 195343                                                           | 1          |
| createdAt                                 | -         | -      | -          |      103 | 2023-09-30 02:59:28                                              | 1          |
| lang                                      | -         | -      | -          |        1 | en                                                               | 103        |
| bookmarkCount                             | 185.62    | 0.0    | 14567.0    |       50 | 2                                                                | 9          |
| isReply                                   | -         | -      | -          |        1 | False                                                            | 103        |
| isRetweet                                 | -         | -      | -          |        1 | False                                                            | 103        |
| isQuote                                   | -         | -      | -          |        1 | False                                                            | 103        |
| isConversationControlled                  | -         | -      | -          |        1 | False                                                            | 103        |
| quoteId                                   | -         | -      | -          |        0 | -                                                                | -          |
